flight,date,time
BCS92L,2021-11-19,00:00:02
ICL992,2021-11-19,00:38:02
TUN85,2021-11-19,02:18:02
QTR8910,2021-11-19,02:24:02
ETH574,2021-11-19,02:32:02
NSZ2879,2021-11-19,02:41:02
ETH500,2021-11-19,03:01:02
SWR87,2021-11-19,04:03:02
BVR80,2021-11-19,04:47:02
THY6557,2021-11-19,04:53:02
NOS789,2021-11-19,05:12:02
BCS373,2021-11-19,05:43:02
VIR4C,2021-11-19,05:44:02
BAW45B,2021-11-19,05:46:02
BAW5CA,2021-11-19,05:53:02
ACA854,2021-11-19,06:10:02
AAL100,2021-11-19,06:11:02
TAP1363,2021-11-19,06:11:02
ETH3518,2021-11-19,06:14:02
BAW20R,2021-11-19,06:14:02
AUA4MG,2021-11-19,06:17:02
DAL262,2021-11-19,06:18:02
DLH463,2021-11-19,06:18:02
BAW9E,2021-11-19,06:18:02
AAL20,2021-11-19,06:22:02
FRF300,2021-11-19,06:23:02
MMD5112,2021-11-19,06:25:02
AAL108,2021-11-19,06:27:02
BAW456,2021-11-19,06:30:02
BAW78,2021-11-19,06:31:02
BAW200,2021-11-19,06:33:02
AAL730,2021-11-19,06:34:02
CAZ101,2021-11-19,06:36:02
RYR83NN,2021-11-19,06:37:02
SHT6C,2021-11-19,06:37:02
AFR35NA,2021-11-19,06:38:02
EZY61UE,2021-11-19,06:38:02
BAW66V,2021-11-19,06:38:02
VIR118,2021-11-19,06:38:02
SHT8B,2021-11-19,06:40:02
DAL82,2021-11-19,06:41:02
DLH5XU,2021-11-19,06:41:02
ETH3406,2021-11-19,06:41:02
AFR11EJ,2021-11-19,06:42:02
CPA2252,2021-11-19,06:45:02
SHT86L,2021-11-19,06:47:02
RYR6RU,2021-11-19,06:47:02
OCN2007,2021-11-19,06:51:03
AFR18MP,2021-11-19,06:51:03
KLM1000,2021-11-19,06:51:03
DLH7MA,2021-11-19,06:52:02
AFR82CM,2021-11-19,06:52:02
AFR24XG,2021-11-19,06:55:02
RYR81RV,2021-11-19,06:55:02
BAW964H,2021-11-19,06:57:02
BAW388R,2021-11-19,07:08:02
TAY010,2021-11-19,07:08:02
RYR5993,2021-11-19,07:09:02
RYR3HV,2021-11-19,07:10:02
SWR345,2021-11-19,07:10:02
RYR5985,2021-11-19,07:11:02
DLH6VM,2021-11-19,07:12:02
BAW5PT,2021-11-19,07:13:02
BAW489,2021-11-19,07:13:02
BAW81V,2021-11-19,07:13:02
BAW724,2021-11-19,07:15:02
WUK27LH,2021-11-19,07:15:02
AFR91RH,2021-11-19,07:16:02
AFR51SZ,2021-11-19,07:16:02
BAW158,2021-11-19,07:17:02
WUK3NK,2021-11-19,07:18:02
UAL972,2021-11-19,07:19:02
RYR77XX,2021-11-19,07:21:02
SHT2L,2021-11-19,07:22:02
RYR4YH,2021-11-19,07:23:02
BAW428,2021-11-19,07:24:02
BAW2586,2021-11-19,07:27:02
BAW936,2021-11-19,07:27:02
UAL960,2021-11-19,07:28:03
NOZ5020,2021-11-19,07:28:03
BAW59T,2021-11-19,07:29:02
RYR8XZ,2021-11-19,07:30:02
EZY61YP,2021-11-19,07:31:02
BAW27CE,2021-11-19,07:32:02
BEL2104,2021-11-19,07:32:02
EZY54NQ,2021-11-19,07:33:02
N405QS,2021-11-19,07:36:02
ITY201,2021-11-19,07:39:02
UAL953,2021-11-19,07:44:02
BAW2780,2021-11-19,07:45:02
EIN15D,2021-11-19,07:45:02
RYR14MP,2021-11-19,07:45:02
FIN8AK,2021-11-19,07:47:03
DAL1,2021-11-19,07:48:02
BAW2769,2021-11-19,07:49:02
RYR6AV,2021-11-19,07:49:02
BAW304,2021-11-19,07:50:02
SHT2511,2021-11-19,07:51:02
BAW9170,2021-11-19,07:51:02
SHT12J,2021-11-19,07:51:02
BAW8VK,2021-11-19,07:53:02
FDX25,2021-11-19,07:55:02
