flight,date,time
EXS5GJ,2024-06-25,00:00:03
RUK60ZH,2024-06-25,00:01:02
BOX395,2024-06-25,00:03:02
THY6362,2024-06-25,00:06:02
BCS473,2024-06-25,00:07:02
EZY36DR,2024-06-25,00:09:02
EXS73BU,2024-06-25,00:11:02
BCS5NR,2024-06-25,00:11:02
EZY21RH,2024-06-25,00:14:02
EZY76CA,2024-06-25,00:15:02
RYR3801,2024-06-25,00:16:02
WUK95NE,2024-06-25,00:22:02
EZY72GR,2024-06-25,00:23:02
CLX42A,2024-06-25,00:30:02
RYR638W,2024-06-25,00:31:02
RYR4AE,2024-06-25,00:34:02
EZY92MF,2024-06-25,00:40:02
EXS15L,2024-06-25,00:43:02
RYR4848,2024-06-25,00:47:02
AEE631,2024-06-25,00:52:02
TOM279,2024-06-25,00:55:02
DHK074,2024-06-25,01:01:02
TOM15Y,2024-06-25,01:11:02
EZY41ZR,2024-06-25,01:12:02
EXS1508,2024-06-25,01:14:02
EZY76EH,2024-06-25,01:29:02
EZY81XF,2024-06-25,01:33:02
ETD5SJ,2024-06-25,01:39:03
EXS71DZ,2024-06-25,01:47:02
QTR8148,2024-06-25,01:58:02
BCS2581,2024-06-25,01:58:02
RYR3DD,2024-06-25,02:01:02
WUK3277,2024-06-25,02:04:02
EXS1856,2024-06-25,02:14:02
UAL84,2024-06-25,02:33:02
TOM699,2024-06-25,02:34:02
THY182,2024-06-25,02:50:02
EZY75YG,2024-06-25,02:56:02
THY195,2024-06-25,03:08:02
TOM9HE,2024-06-25,03:09:02
ELY027,2024-06-25,03:09:02
TOM739,2024-06-25,03:20:02
RUK85SA,2024-06-25,03:22:02
FPO7SN,2024-06-25,03:55:02
DAL96,2024-06-25,03:58:02
ICE48P,2024-06-25,03:59:02
BOX399,2024-06-25,04:00:02
DLH409,2024-06-25,04:14:02
UAL30,2024-06-25,04:20:02
OCN75,2024-06-25,04:22:02
ACA832,2024-06-25,04:27:02
TVF82XR,2024-06-25,04:30:02
SWR55M,2024-06-25,04:32:02
QTR8174,2024-06-25,04:36:02
AAL704,2024-06-25,04:36:02
DLH479,2024-06-25,04:42:02
CFG2017,2024-06-25,04:50:02
BCS2696,2024-06-25,04:55:03
IMX359,2024-06-25,05:03:02
UAL950,2024-06-25,05:13:02
UAL422,2024-06-25,05:17:02
CKS647,2024-06-25,05:22:02
EXS3NX,2024-06-25,05:25:02
ABR8AN,2024-06-25,05:26:02
BAW9E,2024-06-25,05:26:02
GTI8295,2024-06-25,05:27:02
ELY002,2024-06-25,05:28:02
DAL30,2024-06-25,05:29:02
AAL50,2024-06-25,05:32:02
CPA251,2024-06-25,05:32:02
BAW216,2024-06-25,05:34:02
BEL52B,2024-06-25,05:35:02
BAW5CA,2024-06-25,05:36:02
MAS2,2024-06-25,05:41:02
KLM268,2024-06-25,05:43:02
DLH403,2024-06-25,05:44:02
BAW64M,2024-06-25,05:44:02
DLH463,2024-06-25,05:45:02
BAW78,2024-06-25,05:45:02
