flight,date,time
AXE4406,2024-02-12,00:19:02
CHG542,2024-02-12,00:33:02
RYR72KP,2024-02-12,00:40:02
BOX399,2024-02-12,00:51:03
WUK12UW,2024-02-12,00:56:02
UAE242,2024-02-12,01:09:02
VJT409,2024-02-12,01:20:02
GTI8069,2024-02-12,01:37:02
AZG1232,2024-02-12,01:44:02
SVA902,2024-02-12,02:00:02
UAE4M,2024-02-12,02:46:02
DLH401,2024-02-12,03:03:02
KLM714,2024-02-12,03:18:02
ACA840,2024-02-12,03:46:02
KAC118,2024-02-12,03:57:02
SPAR71,2024-02-12,04:31:02
AFR6743,2024-02-12,04:33:02
DLH411,2024-02-12,04:39:02
ETH518,2024-02-12,04:40:02
DHK375,2024-02-12,04:40:02
AAL704,2024-02-12,04:52:02
UAL974,2024-02-12,04:57:02
BAW25GP,2024-02-12,05:00:03
BAW58L,2024-02-12,05:03:02
AUA90,2024-02-12,05:09:02
UAL989,2024-02-12,05:10:02
ETH574,2024-02-12,05:11:02
DLH403,2024-02-12,05:12:02
BEL52B,2024-02-12,05:17:02
DLH445,2024-02-12,05:19:02
OCN8QR,2024-02-12,05:24:02
UAL950,2024-02-12,05:25:02
DLH463,2024-02-12,05:27:02
QFX350,2024-02-12,05:28:02
JBU1620,2024-02-12,05:32:02
DAL86,2024-02-12,05:33:02
BAW78,2024-02-12,05:37:02
DAL152,2024-02-12,05:38:02
AUA94,2024-02-12,05:39:02
VIR104L,2024-02-12,05:40:02
ACA886,2024-02-12,05:42:03
BAW2CM,2024-02-12,05:43:02
BAW246,2024-02-12,05:46:02
FDX48,2024-02-12,05:46:02
VIR4C,2024-02-12,05:48:02
BAW250,2024-02-12,05:50:02
AFR293,2024-02-12,05:52:03
BAW6W,2024-02-12,05:53:02
BAW9E,2024-02-12,05:54:02
ETH3518,2024-02-12,05:55:02
BAW9NF,2024-02-12,06:00:02
UAL999,2024-02-12,06:00:02
AFR379G,2024-02-12,06:00:02
BAW11J,2024-02-12,06:06:02
AAL730,2024-02-12,06:08:02
BAW41YA,2024-02-12,06:09:02
VIR46K,2024-02-12,06:10:02
TAP63V,2024-02-12,06:11:02
DAL16,2024-02-12,06:15:02
AAL100,2024-02-12,06:16:02
SWR81C,2024-02-12,06:16:02
CJT1894,2024-02-12,06:17:02
DAL106,2024-02-12,06:17:02
BAW81V,2024-02-12,06:17:02
AUA4M,2024-02-12,06:18:02
DAL228,2024-02-12,06:18:02
UAL14,2024-02-12,06:18:02
EZS1361,2024-02-12,06:19:02
BAW472,2024-02-12,06:21:02
AAL70,2024-02-12,06:22:02
RYR237F,2024-02-12,06:24:02
BAW18B,2024-02-12,06:25:03
DAL10,2024-02-12,06:27:02
SHT8B,2024-02-12,06:28:02
RWD710,2024-02-12,06:28:02
RYR29RQ,2024-02-12,06:30:02
ACA864,2024-02-12,06:33:02
AFR65YP,2024-02-12,06:33:02
KLM1058,2024-02-12,06:33:02
EZY61XA,2024-02-12,06:34:02
VIR130C,2024-02-12,06:36:02
VIR118,2024-02-12,06:36:02
SHT6C,2024-02-12,06:37:02
RYR9582,2024-02-12,06:38:02
RYR49HH,2024-02-12,06:38:02
RYR20HQ,2024-02-12,06:38:02
UAL960,2024-02-12,06:40:03
DAL58,2024-02-12,06:40:03
RYR340N,2024-02-12,06:40:03
RYR9VJ,2024-02-12,06:41:02
RYR9319,2024-02-12,06:42:02
DLH9H,2024-02-12,06:42:02
EZY74MY,2024-02-12,06:42:02
AFR57UM,2024-02-12,06:43:02
ACA832,2024-02-12,06:43:02
VIR222,2024-02-12,06:44:02
RYR63RP,2024-02-12,06:46:02
DLH4JV,2024-02-12,06:47:02
T7LSS,2024-02-12,06:48:02
BOX457,2024-02-12,06:48:02
RYR19KE,2024-02-12,06:49:02
DLH429,2024-02-12,06:50:02
KLM1000,2024-02-12,06:50:02
RYR9SH,2024-02-12,06:51:02
EZY92VC,2024-02-12,06:51:02
RYR85UN,2024-02-12,06:51:02
LOT286,2024-02-12,06:52:02
RYR34HZ,2024-02-12,06:52:02
DAL30,2024-02-12,06:53:02
RYR66HM,2024-02-12,06:53:02
EZY897V,2024-02-12,06:53:02
AFR1716,2024-02-12,06:54:02
BAW4RE,2024-02-12,06:54:02
RYR2CY,2024-02-12,06:54:02
SHT12G,2024-02-12,06:55:02
RYR4PK,2024-02-12,06:56:02
EZY72FD,2024-02-12,06:57:02
RYR25AK,2024-02-12,06:58:03
SAS51N,2024-02-12,06:58:03
KLM22A,2024-02-12,06:58:03
ACA836,2024-02-12,06:59:02
BAW388R,2024-02-12,06:59:02
AFR1887,2024-02-12,07:00:02
SAS500,2024-02-12,07:00:02
RYR6UP,2024-02-12,07:00:02
SHT3G,2024-02-12,07:01:02
DAL262,2024-02-12,07:01:02
BAW84W,2024-02-12,07:02:03
RYR581H,2024-02-12,07:03:02
THY3DR,2024-02-12,07:04:02
DLH425,2024-02-12,07:04:02
SHT4A,2024-02-12,07:04:02
EZY24DL,2024-02-12,07:05:02
SHT18Z,2024-02-12,07:06:02
SFG55A,2024-02-12,07:06:02
UAE21U,2024-02-12,07:07:02
BAW812,2024-02-12,07:08:02
VCG2AP,2024-02-12,07:08:02
RYR52UC,2024-02-12,07:09:02
BAW72J,2024-02-12,07:10:02
OCN65T,2024-02-12,07:10:02
BEL5WG,2024-02-12,07:10:02
KLM702,2024-02-12,07:11:02
KLM777,2024-02-12,07:11:02
RYR49HL,2024-02-12,07:12:02
BAW176A,2024-02-12,07:12:02
BAW248,2024-02-12,07:12:02
UAL972,2024-02-12,07:13:02
BAW5MK,2024-02-12,07:13:02
EZY31JB,2024-02-12,07:14:02
DAL140,2024-02-12,07:15:02
EZY60EP,2024-02-12,07:15:02
EXS1RV,2024-02-12,07:15:02
BAW678,2024-02-12,07:16:02
SAS802,2024-02-12,07:16:02
EZY27NC,2024-02-12,07:17:02
BAW42,2024-02-12,07:17:02
RYR548F,2024-02-12,07:17:02
AAL86,2024-02-12,07:18:02
ABD4253,2024-02-12,07:18:02
EZY62QV,2024-02-12,07:18:02
EXS1PV,2024-02-12,07:18:02
EZY47PW,2024-02-12,07:19:02
SWR92E,2024-02-12,07:19:02
BAW5CR,2024-02-12,07:20:02
RYR44UP,2024-02-12,07:20:02
RYR72GR,2024-02-12,07:21:02
N57EL,2024-02-12,07:21:02
RYR2LV,2024-02-12,07:22:02
BAW710R,2024-02-12,07:22:02
EZY43PL,2024-02-12,07:22:02
BAW48HY,2024-02-12,07:22:02
DAL224,2024-02-12,07:23:02
