flight,date,time
N1955Q,2024-10-24,00:00:02
EZY26BH,2024-10-24,00:03:02
EZY92MF,2024-10-24,00:12:02
TOM3JN,2024-10-24,00:12:02
SEMNN,2024-10-24,00:12:02
WUK95NE,2024-10-24,00:19:02
RYR19ZF,2024-10-24,00:20:02
EZY64QU,2024-10-24,00:25:02
EZY78RW,2024-10-24,00:27:03
RYR9HD,2024-10-24,00:27:03
TOM227,2024-10-24,00:47:02
RYR9615,2024-10-24,00:55:02
EZY86TA,2024-10-24,01:04:02
EZY76EH,2024-10-24,01:11:02
EZY15UE,2024-10-24,01:16:02
EZY37TQ,2024-10-24,01:22:02
EZY62YM,2024-10-24,01:23:02
CBM88,2024-10-24,01:23:02
EZY2850,2024-10-24,01:26:02
EXS38KM,2024-10-24,02:18:02
TOM9MG,2024-10-24,02:30:02
EZY75YG,2024-10-24,02:37:02
TOM8VC,2024-10-24,02:53:02
DLH417,2024-10-24,03:04:02
UPS208,2024-10-24,03:05:02
OCN1UC,2024-10-24,03:06:02
CFG3777,2024-10-24,03:36:02
FPO7SN,2024-10-24,03:50:02
ASL507,2024-10-24,03:52:02
DLH401,2024-10-24,03:55:02
BCS840,2024-10-24,04:01:02
KAC118,2024-10-24,04:15:02
VIR450,2024-10-24,04:21:02
BAW74,2024-10-24,04:35:02
GTI8092,2024-10-24,04:36:02
QFA9,2024-10-24,04:38:02
BAW58L,2024-10-24,04:46:02
DLH445,2024-10-24,04:47:02
UPS204,2024-10-24,04:52:02
BAW16,2024-10-24,04:57:02
IMX359,2024-10-24,05:00:02
BAW56,2024-10-24,05:02:02
CPA251,2024-10-24,05:03:02
CMB144,2024-10-24,05:05:02
UAL929,2024-10-24,05:05:02
BAW9E,2024-10-24,05:07:02
OCN51,2024-10-24,05:12:02
THY41Y,2024-10-24,05:12:02
ACA896,2024-10-24,05:15:02
BAW262,2024-10-24,05:17:02
DLH423,2024-10-24,05:17:02
BAW78,2024-10-24,05:24:02
EZY31MW,2024-10-24,05:38:02
AAL100,2024-10-24,05:42:02
DAL22,2024-10-24,05:42:02
UAL989,2024-10-24,05:42:02
CHH730,2024-10-24,05:43:02
DLH431,2024-10-24,05:43:02
AAL50,2024-10-24,05:45:02
BAW64M,2024-10-24,05:47:02
SMF101,2024-10-24,05:48:02
UAL950,2024-10-24,05:49:02
UAL110,2024-10-24,05:50:02
BAW106,2024-10-24,05:51:02
DLH419,2024-10-24,05:54:02
BAW20R,2024-10-24,05:54:02
TRA76H,2024-10-24,05:55:02
UAL999,2024-10-24,05:55:02
JAF352,2024-10-24,05:56:02
BAW40F,2024-10-24,05:57:02
WUK3VV,2024-10-24,05:59:02
BAW216,2024-10-24,05:59:02
BAW81V,2024-10-24,06:00:02
