flight,date,time
ACA7238,2021-05-16,00:57:02
FDX27,2021-05-16,01:23:02
CMB589,2021-05-16,02:02:02
CMB591,2021-05-16,02:09:02
ICV62M,2021-05-16,02:17:02
DLH401,2021-05-16,03:17:02
ACA840,2021-05-16,04:17:02
JAF982F,2021-05-16,04:30:03
DLH423,2021-05-16,04:51:02
UAL950,2021-05-16,05:31:02
BCS955,2021-05-16,05:37:02
DLH471,2021-05-16,05:40:02
DLH431,2021-05-16,05:43:02
AAL50,2021-05-16,05:49:03
AAL100,2021-05-16,05:51:02
DLH403,2021-05-16,05:52:02
VIR132,2021-05-16,05:53:02
BAW112,2021-05-16,05:53:02
ACA844,2021-05-16,05:54:02
UAL2798,2021-05-16,06:02:02
UAL999,2021-05-16,06:04:02
DLH419,2021-05-16,06:04:02
VIR624W,2021-05-16,06:08:02
SWR345,2021-05-16,06:12:02
THT68,2021-05-16,06:12:02
VIR4C,2021-05-16,06:12:02
BAW294,2021-05-16,06:13:02
AAL86,2021-05-16,06:15:02
UAL918,2021-05-16,06:17:02
NCR890,2021-05-16,06:20:02
AFR88CE,2021-05-16,06:24:02
BOX415,2021-05-16,06:26:02
UAL14,2021-05-16,06:29:02
AHO852A,2021-05-16,06:29:02
VIR6J,2021-05-16,06:39:02
VIR642,2021-05-16,06:39:02
DAL14,2021-05-16,06:47:02
UAL960,2021-05-16,06:50:02
AAL730,2021-05-16,06:53:02
DLH441,2021-05-16,06:55:02
DLH439,2021-05-16,06:58:02
DAL32,2021-05-16,07:00:03
RYR70FH,2021-05-16,07:04:02
BAW776F,2021-05-16,07:09:03
RYR6EL,2021-05-16,07:12:02
BAW116,2021-05-16,07:12:02
UAL2803,2021-05-16,07:14:02
BAW226,2021-05-16,07:19:02
TFL394,2021-05-16,07:20:02
RYR28UD,2021-05-16,07:21:02
DAL3456,2021-05-16,07:23:02
UAL931,2021-05-16,07:36:02
RYR578P,2021-05-16,07:36:02
UAL907,2021-05-16,07:39:02
GTI4716,2021-05-16,07:41:02
DGJBA,2021-05-16,07:44:02
DAL1,2021-05-16,07:53:02
TAY011D,2021-05-16,07:55:02
ACA7204,2021-05-16,07:56:02
BCS969,2021-05-16,07:56:02
TAY1470,2021-05-16,07:59:02
VIR699,2021-05-16,08:02:02
GAC559L,2021-05-16,08:05:02
ABB132,2021-05-16,08:05:02
VIR527X,2021-05-16,08:08:02
ACA856,2021-05-16,08:08:02
IBE31PL,2021-05-16,08:11:02
BCS6741,2021-05-16,08:12:02
RYR27YG,2021-05-16,08:15:02
MLT885,2021-05-16,08:16:02
SHT90P,2021-05-16,08:17:02
BAW80G,2021-05-16,08:18:02
ATL3Z,2021-05-16,08:19:02
DLH515,2021-05-16,08:19:02
BCS6922,2021-05-16,08:24:02
EIN154,2021-05-16,08:31:02
EZY924L,2021-05-16,08:32:02
EIN9RV,2021-05-16,08:34:02
RYR961W,2021-05-16,08:36:02
MEVAN,2021-05-16,08:37:02
LGT5503,2021-05-16,08:39:02
BAW18A,2021-05-16,08:40:02
QTR6HB,2021-05-16,08:43:02
KLM749,2021-05-16,08:45:02
RYR94FR,2021-05-16,08:45:02
AAL51,2021-05-16,08:47:02
DAL20,2021-05-16,08:47:02
BAW828Y,2021-05-16,08:49:02
CJT985,2021-05-16,08:49:02
VIR521,2021-05-16,08:53:02
ETD12,2021-05-16,08:57:02
EDC407R,2021-05-16,08:57:02
NJE7TV,2021-05-16,08:58:02
SHT18LA,2021-05-16,09:00:02
N711VT,2021-05-16,09:01:02
SWR38W,2021-05-16,09:04:02
AFR28VB,2021-05-16,09:05:02
BAW34N,2021-05-16,09:07:02
LZB852,2021-05-16,09:09:02
NJE261C,2021-05-16,09:13:02
SHT2L,2021-05-16,09:13:02
BAW906,2021-05-16,09:14:02
VIR688,2021-05-16,09:16:02
GEC8161,2021-05-16,09:16:02
VIR593A,2021-05-16,09:16:02
SHT12H,2021-05-16,09:18:02
VJT923W,2021-05-16,09:18:02
N75VB,2021-05-16,09:21:02
BAW98,2021-05-16,09:21:02
KLM758,2021-05-16,09:21:02
SHT8K,2021-05-16,09:23:02
AHO388H,2021-05-16,09:24:02
ACA7210,2021-05-16,09:27:02
NJE124C,2021-05-16,09:31:02
BLA1332,2021-05-16,09:32:02
DLH2AC,2021-05-16,09:32:02
QFA110,2021-05-16,09:35:02
NWS354,2021-05-16,09:35:02
TAP1356,2021-05-16,09:37:02
UAL56,2021-05-16,09:37:02
SIA305,2021-05-16,09:38:02
KLM791,2021-05-16,09:39:02
AAL731,2021-05-16,09:41:02
AAL728,2021-05-16,09:44:02
BAW728,2021-05-16,09:44:02
QGA733G,2021-05-16,09:45:02
DLH6U,2021-05-16,09:46:02
KLM736,2021-05-16,09:46:02
AFR636,2021-05-16,09:47:02
DCARO,2021-05-16,09:47:02
UAL998,2021-05-16,09:48:02
BAW880,2021-05-16,09:49:02
AIC162,2021-05-16,09:52:02
EIN93C,2021-05-16,09:55:02
AAL101,2021-05-16,09:56:02
JAL42,2021-05-16,09:58:02
BAW3C,2021-05-16,09:59:02
YUSXX,2021-05-16,09:59:02
EIN15N,2021-05-16,10:01:02
BAW918,2021-05-16,10:02:02
UAL46,2021-05-16,10:02:02
UAL928,2021-05-16,10:03:02
GFA002,2021-05-16,10:04:02
REN15S,2021-05-16,10:04:02
DAL2,2021-05-16,10:09:03
KLM751,2021-05-16,10:10:02
AAL9819,2021-05-16,10:11:02
VIR514H,2021-05-16,10:11:02
BAW296,2021-05-16,10:11:02
