flight,date,time
CNV3562,2022-08-25,00:00:02
ABX957,2022-08-25,00:00:02
RYR559W,2022-08-25,00:00:02
RYR576Y,2022-08-25,00:01:02
EZY26AE,2022-08-25,00:02:02
CLB893,2022-08-25,00:04:02
RYR42XU,2022-08-25,00:07:02
EZY53TH,2022-08-25,00:13:02
TOM7DX,2022-08-25,00:18:02
TOM7AY,2022-08-25,00:20:02
RYR7GJ,2022-08-25,00:21:03
THY13T,2022-08-25,00:22:02
TOM3JN,2022-08-25,00:25:02
TOM8XE,2022-08-25,00:26:02
TOM6313,2022-08-25,00:40:02
EZY21VV,2022-08-25,00:46:02
THY4,2022-08-25,00:47:02
EZY6304,2022-08-25,01:00:02
TOM78D,2022-08-25,01:08:02
WUK905,2022-08-25,01:10:02
WUK8130,2022-08-25,01:11:02
EZY54AL,2022-08-25,01:18:02
EZY91DR,2022-08-25,01:18:02
EZY93TB,2022-08-25,01:21:02
EZY96ZB,2022-08-25,01:22:02
THY6362,2022-08-25,01:31:02
EXS12PY,2022-08-25,01:31:02
EZY6062,2022-08-25,01:33:02
TOM13W,2022-08-25,01:34:02
EZY6076,2022-08-25,01:37:02
EZY63TQ,2022-08-25,01:41:02
FTL841,2022-08-25,01:54:02
TOM6CG,2022-08-25,01:59:02
PEG5,2022-08-25,02:00:02
BCS6YG,2022-08-25,02:11:02
BCS92L,2022-08-25,02:16:02
CMB543,2022-08-25,02:26:02
TOM9MG,2022-08-25,02:46:02
EXS95EU,2022-08-25,02:51:02
FDX95,2022-08-25,02:57:02
EZY13CX,2022-08-25,03:04:02
BCS464,2022-08-25,03:08:02
DLH401,2022-08-25,03:23:02
FDX5047,2022-08-25,03:27:02
GCK17,2022-08-25,03:30:02
FDX5204,2022-08-25,03:32:02
UAL944,2022-08-25,03:33:02
FDX9830,2022-08-25,03:38:02
AAL160,2022-08-25,03:40:02
ETH574,2022-08-25,03:40:02
TAY4294,2022-08-25,03:42:02
KLM734,2022-08-25,03:45:02
AAL758,2022-08-25,03:56:02
ETH500,2022-08-25,04:05:02
KAC118,2022-08-25,04:08:02
ABD601,2022-08-25,04:09:02
AAL716,2022-08-25,04:10:02
ITY609,2022-08-25,04:19:02
UAL385,2022-08-25,04:22:02
ELY002,2022-08-25,04:22:02
ETH552,2022-08-25,04:23:02
ICE548,2022-08-25,04:28:02
QTR71R,2022-08-25,04:28:02
