flight,date,time
RYR9LV,2023-05-20,00:01:02
NCR507,2023-05-20,00:02:02
EXS81PS,2023-05-20,00:04:02
WUK28FL,2023-05-20,00:06:02
RYR212,2023-05-20,00:09:02
RYR47EQ,2023-05-20,00:12:02
EZY79LP,2023-05-20,00:13:02
RYR1KW,2023-05-20,00:20:02
EZY29HL,2023-05-20,00:31:02
THY4,2023-05-20,00:54:02
RUK3GG,2023-05-20,00:57:02
EZY69UL,2023-05-20,01:00:02
UPS214,2023-05-20,01:07:02
EZY41PQ,2023-05-20,01:14:02
RYR92NY,2023-05-20,01:16:02
EZY34BP,2023-05-20,01:19:02
AEE631,2023-05-20,01:19:02
BVR10,2023-05-20,01:27:02
BCS465,2023-05-20,01:34:02
EZY65CL,2023-05-20,01:39:02
EZY79BC,2023-05-20,01:43:02
ABD4401,2023-05-20,01:45:03
EXS29B,2023-05-20,02:14:02
MSR981,2023-05-20,02:58:02
TOM44X,2023-05-20,02:59:02
UPS208,2023-05-20,03:02:02
DLH401,2023-05-20,03:03:02
DLH417,2023-05-20,03:22:02
TAY3FS,2023-05-20,03:35:02
ACA80,2023-05-20,03:53:02
SWR7,2023-05-20,04:02:02
N807DC,2023-05-20,04:03:02
CFG2017,2023-05-20,04:15:02
TVF97CD,2023-05-20,04:22:02
AAL716,2023-05-20,04:34:02
VIR450,2023-05-20,04:41:02
ETH500,2023-05-20,04:52:02
UAL3,2023-05-20,04:53:02
BAW74,2023-05-20,04:54:02
BAW58L,2023-05-20,04:56:02
BAW262,2023-05-20,04:59:02
UAL30,2023-05-20,05:02:02
BAW56,2023-05-20,05:04:02
DLH445,2023-05-20,05:07:02
CPA251,2023-05-20,05:07:02
UAL108,2023-05-20,05:08:02
AAL704,2023-05-20,05:13:02
BAW124,2023-05-20,05:17:02
UAL950,2023-05-20,05:22:02
DAL22,2023-05-20,05:25:02
ACA836,2023-05-20,05:28:02
QTR16H,2023-05-20,05:35:02
DLH403,2023-05-20,05:35:02
MAS2,2023-05-20,05:38:02
BAW16,2023-05-20,05:40:02
BAW9E,2023-05-20,05:42:02
VPCZA,2023-05-20,05:46:02
QFA9,2023-05-20,05:46:02
SIA322,2023-05-20,05:46:02
UAL918,2023-05-20,05:48:02
N388FJ,2023-05-20,05:51:02
DAL98,2023-05-20,05:54:02
MNB600,2023-05-20,05:55:02
BAW78,2023-05-20,05:55:02
BAW12,2023-05-20,05:56:02
UAL110,2023-05-20,05:57:02
BAW40F,2023-05-20,05:58:02
QTR8134,2023-05-20,05:58:02
QTR62G,2023-05-20,05:58:02
VIR4C,2023-05-20,05:58:02
AAL100,2023-05-20,06:00:02
QTR105,2023-05-20,06:00:02
DLH419,2023-05-20,06:00:02
UAL134,2023-05-20,06:03:02
DAL224,2023-05-20,06:03:02
AIC119,2023-05-20,06:04:02
DAL86,2023-05-20,06:04:02
BAW32,2023-05-20,06:04:02
BAW64M,2023-05-20,06:04:02
JBU1620,2023-05-20,06:04:02
ETD89G,2023-05-20,06:05:02
JBU2104,2023-05-20,06:05:02
UAL929,2023-05-20,06:05:02
BAW216,2023-05-20,06:06:03
ACA844,2023-05-20,06:06:03
BAW20R,2023-05-20,06:07:02
BAW5CA,2023-05-20,06:09:02
AFR293,2023-05-20,06:09:02
FIN4YC,2023-05-20,06:10:02
DAL106,2023-05-20,06:11:02
RYR9429,2023-05-20,06:11:02
BAW25GP,2023-05-20,06:11:02
UAL999,2023-05-20,06:11:02
EXS56B,2023-05-20,06:16:02
BAW11J,2023-05-20,06:16:02
BAW28,2023-05-20,06:16:02
JAL41,2023-05-20,06:17:02
BAW66V,2023-05-20,06:18:02
